description,category
We continue to pollute air at a increasing range .If we continue this in 75 yrs we need to move out of earth .This is really a big problem,Air
Smoking zone and not taken any measures to segrigate garbage over here not even bbmp is also not collecting the garbage from them ,Waste/Garbage
Two wheelers taking advantage of a few lose bricks to use the footpath for driving,Traffic/Parking
Garbage in being dumped in road,Waste/Garbage
People are going in no entry which causes traffic,Traffic/Parking
All people without any sense they are putting garbage in the road side bridges,Waste/Garbage
Nobody is repairing and every body in this area are scared weather children's will get shock,Streetlights
No light and roads are damaged,Streetlights
The garbage has not cleaned,Waste/Garbage
The wall and the platform was rebuilt before but the unused cement and bricks are thrown out there near the wall.,Waste/Garbage
"Even after sewage sucking machine comes, this road gets flooded everyday",Sewage
Nuisance to public by em El em kalyana mandapam . There are 3 garbage disposal bins placed. All the trash is thrown on the places surrounding the garbagebin. The garbagebin is empty .,Waste/Garbage
Nuisance by em El em kalyana mandapam to the residents living close by. There are 3 garbage bins placed but trash is thrown everywhere beside the bins . The bins are not full to be. thrown around,Waste/Garbage
Everytime they don't clean that area . It is full of garbage sometime.,Waste/Garbage
Behind the tree.  Everytime during the night many people feel it difficult to walk because they don't maintain street lights . Half the time street lights are switch off,Streetlights
Everytime they park the vehicles in front of the gate,Traffic/Parking
Dumping garbage in foot path,Waste/Garbage
No,Water
Plastic waste is there from 2 months ,Waste/Garbage
Dumping sewer line,Sewage
Dumping in the roadside,Waste/Garbage
Dumping on a stack of leaves,Waste/Garbage
Street light pole fallen down not fixed,Streetlights
Potholes left open,Potholes
2 huge potholes left open,Potholes
"There is a lot of air pollution nowadays since people use their own vehicles, instead they can use public transport to reduce air pollution ",Air
Recently dumped,Waste/Garbage
Recently dumped,Streetlights
Recently occurred,Waste/Garbage
Recently dumped,Sewage
Recently occurred,Sewage
Recently occurred,Streetlights
Recently occurred,Potholes
Recently dumped,Waste/Garbage
Recently done,Potholes
Dumping of Garbage,Waste/Garbage
In this area people or not putting waste in the dustbin there putting in corner of the road,Waste/Garbage
Nuisance by em El em kalyana mandapam to nearby residents. There are 3 garbage disposal bins. None of them are used. It is empty. All the trash is dumped on the area surrounding the can,Waste/Garbage
Animals are eating garbage and plastics,Waste/Garbage
The wires are lose,Streetlights
The light is not working for so many months.if the the light is repaired one then govt should take necessary actions.,Streetlights
The wires are dabgking,Streetlights
The roads are of bad quality and are filled with dents,Potholes
There are drains which are not covered,Potholes
Uncovered drains,Potholes
Open holes,Potholes
Cow are eating plastic bags and bad smell come,Waste/Garbage
Long pothole left open,Potholes
Dump in the side of the road,Waste/Garbage
Dump in a small site left vacent,Waste/Garbage
Broken sewage line,Sewage
Huge pothole left open in the centre of the road,Potholes
Potholes,Potholes
Potholes causing accidents,Potholes
Pothole on a main road,Potholes
Potholes,Potholes
There are many wires hanging and dangling in the terrace and It is difficult for us to hang the clothes.,Streetlights
From this building we are seeing continuous water leakage.,Water
There is wire hanging in front of the balcony.  It Is very difficult to look outside,Streetlights
Recently there,Potholes
Recently occurred,Waste/Garbage
Road side garbage throne by textiles industries near by there plastic milk covers and tree waste is also there over here. And plastic covers too. And they are burning the waste produced by them. ,Waste/Garbage
Walker's path gone,Waste/Garbage
Sewage flow diverted..,Sewage
Clear the mess..,Waste/Garbage
Dengue is spreading,Water
Bad smell and lots of flies.,Waste/Garbage
"Please fix this problem it is so stinky ????????
",Waste/Garbage
Dumping of rocks on a sewage line,Sewage
Broken covering of sewer,Sewage
In the flush tanks of our school the sanitary napkins are been put by the students water clogging is happening.,Water
"Garbages are dumped in a vacant lot please put more bins for use

",Waste/Garbage
"All wastes dumped here
There is no dustbin.",Waste/Garbage
There is no dustbin here.,Waste/Garbage
People are throwing waste near their house.,Waste/Garbage
Toilet parts and other things are thrown near their house bu themselves.,Waste/Garbage
We should stop dumping garbage instead put it in a dustbin.,Waste/Garbage
Garbage dumped outside a car parking. Obstructing. the pedestrian path way,Waste/Garbage
A bike parked on footpath,Traffic/Parking
A scooter parked on the footpath,Traffic/Parking
Poor biy,Plastic
People are throwing garbage how much ever people clean it,Waste/Garbage
"There are so many blackspots in Bangalore almost 1 every 100 mts about 200 mts near mantri tranquil
",Waste/Garbage
We are not segregating waste.We have to segregate waste always the plastic will cause land pollution. Please segregate waste.,Waste/Garbage
Recently thrown,Waste/Garbage
Thrown carelessly,Waste/Garbage
Thrown recently,Waste/Garbage
Thrown carelessly,Streetlights
Carelessly dumped,Waste/Garbage
Carelessly thrown,Waste/Garbage
"No proper 
construction",Sewage
Recently dumped,Waste/Garbage
There is a water pipe line all the dirty water goes there & near that that this block sport is there & there are few vendors have their shops & this can affect so many people over there ,Waste/Garbage
Test report,Waste/Garbage
Light is not working,Streetlights
"There is a lot of insects and bugs from the  dustbin 
Near pallekamma nagar b.b road chikkajala 
",Waste/Garbage
Testing 1.3.23,Waste/Garbage
Testing 1.3.23,Waste/Garbage
Testing 1.3.23,Plastic
"Many vehicle makes air polluted like bullet vehicle Air pollution can also make people sick. It can make it difficult to breathe and cause diseases such as lung cancer, respiratory infections.",Air
Please clean this up,Waste/Garbage
Streetlight is not working,Streetlights
"Due to the rain ,water gets stagnant and awaits mosquitoes to breed in it . this is not recognised by the cleaning people. please take any action on it.
",Water
Streetlight is not working. So uneven footpath is not seen,Streetlights
"Due to rain water gets stored and awaits mosquitoes to breed in it.this is a serious issue. please take any action
",Water
There is water leak in every tap of every house this must be reduced by installing water aereators in home s to reduce water scarcity....,Water
Here are 10 good reasons why properly managed wastewater resources should not be wasted: Scarcity of water.,Water
"If there is a potholes in your road, please complaint about it, and be as a good citizen",Potholes
He,Plastic
Uu,Waste/Garbage
"The dust bins are not being cleared. This causes bad smell and mosquito breeding which leads to lit of diseases like dengue, malaria, etc.",Waste/Garbage
It is the place where people walk.....its causes lot of problems,Waste/Garbage
Water logging causes inconvenience to people in the neighbourhood,Water
"The municipality garebage should clean it 
",Plastic
Garbage dummped on vacant land,Waste/Garbage
Plastic covers and paper glass and wet waste,Waste/Garbage
People are throwing waste over the dustbin here.,Waste/Garbage
Garbage dump on road side tree,Waste/Garbage
Block spot on footpath,Waste/Garbage
Cable wires on footpath,Streetlights
"Looks so dirty makes the road look very dirty
",Waste/Garbage
People are throwing wastes here,Waste/Garbage
